what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.dist,"org.eclipse.equinox.p2.garbagecollector",1350198034586
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198038881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198038890
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198039190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198040494
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198042496
error,log,,,"Invalid preference page path: HTML Syntax",1350198044820
error,log,,,"Invalid preference page path: XML Syntax",1350198044820
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1350198044835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198047101
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350198061377
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198061425
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198061432
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198107860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198110959
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350198118488
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198118555
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198125587
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350198146286
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198146334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198149306
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350198150806
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350198150845
started,bundle,org.eclipse.ui.navigator,3.5.100.dist,"org.eclipse.ui.navigator",1350198163879
activated,view,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.views.ProblemView",1350198163880
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350198166863
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350198178061
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1350198178141
started,bundle,org.eclipse.debug.ui,3.7.0.dist,"org.eclipse.debug.ui",1350198178266
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1350198178291
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1350198178585
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1350198178723
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350198178811
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1350198178852
started,bundle,org.eclipse.ptp.rm.generic.ui,1.0.0.201202152003,"org.eclipse.ptp.rm.generic.ui",1350198179211
