what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614125956
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350614139668
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350614143202
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614148805
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350614152856
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614152907
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350614154463
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350614170837
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1350614196297
opened,view,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.views.ProgressView",1350614216458
activated,view,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.views.ProgressView",1350614216504
activated,view,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms.views.LogCatView",1350614221359
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350614222854
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350614226392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614233931
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.project.cleanAction",1350614235214
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614235251
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350614240236
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350614243653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614246529
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350614261498
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614261527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614265885
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614281550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614283952
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350614287799
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614287836
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350614297674
