what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.core,2.1.0.dist,"org.eclipse.equinox.p2.core",1350711322905
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.dist,"org.eclipse.equinox.p2.directorywatcher",1350711322906
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.dist,"org.eclipse.equinox.p2.engine",1350711322932
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.dist,"org.eclipse.equinox.p2.metadata",1350711322933
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.dist,"org.eclipse.equinox.p2.metadata.repository",1350711322977
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.dist,"org.eclipse.equinox.p2.operations",1350711322978
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.dist,"org.eclipse.equinox.p2.publisher",1350711322980
started,bundle,org.eclipse.equinox.p2.publisher.eclipse,1.0.0.dist,"org.eclipse.equinox.p2.publisher.eclipse",1350711323045
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.dist,"org.eclipse.equinox.p2.reconciler.dropins",1350711323046
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.dist,"org.eclipse.equinox.p2.repository",1350711323057
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.dist,"org.eclipse.equinox.p2.transport.ecf",1350711323057
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.dist,"org.eclipse.equinox.p2.ui.sdk.scheduler",1350711323058
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.dist,"org.eclipse.equinox.p2.updatechecker",1350711323059
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.300.dist,"org.eclipse.equinox.p2.updatesite",1350711323059
started,bundle,org.eclipse.equinox.preferences,3.4.0.dist,"org.eclipse.equinox.preferences",1350711323090
started,bundle,org.eclipse.equinox.registry,3.5.100.dist,"org.eclipse.equinox.registry",1350711323128
started,bundle,org.eclipse.equinox.security,1.1.0.dist,"org.eclipse.equinox.security",1350711323137
started,bundle,org.eclipse.equinox.util,1.0.300.dist,"org.eclipse.equinox.util",1350711323138
started,bundle,org.eclipse.help,3.5.100.dist,"org.eclipse.help",1350711323172
started,bundle,org.eclipse.jface,3.7.0.dist,"org.eclipse.jface",1350711323173
started,bundle,org.eclipse.jsch.core,1.1.300.dist,"org.eclipse.jsch.core",1350711323174
started,bundle,org.eclipse.ltk.core.refactoring,3.5.200.dist,"org.eclipse.ltk.core.refactoring",1350711323185
started,bundle,org.eclipse.team.core,3.6.0.dist,"org.eclipse.team.core",1350711323192
started,bundle,org.eclipse.team.cvs.core,3.3.400.dist,"org.eclipse.team.cvs.core",1350711323230
started,bundle,org.eclipse.team.cvs.ui,3.3.400.dist,"org.eclipse.team.cvs.ui",1350711323240
started,bundle,org.eclipse.team.ui,3.6.100.dist,"org.eclipse.team.ui",1350711323247
started,bundle,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui",1350711323266
started,bundle,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console",1350711323285
started,bundle,org.eclipse.ui.editors,3.7.0.dist,"org.eclipse.ui.editors",1350711323298
started,bundle,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.ide",1350711323309
started,bundle,org.eclipse.ui.navigator,3.5.100.dist,"org.eclipse.ui.navigator",1350711323313
started,bundle,org.eclipse.ui.net,1.2.100.dist,"org.eclipse.ui.net",1350711323314
started,bundle,org.eclipse.ui.views,3.6.0.dist,"org.eclipse.ui.views",1350711323369
started,bundle,org.eclipse.ui.workbench,3.7.0.dist,"org.eclipse.ui.workbench",1350711323386
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.workbench.texteditor",1350711323474
started,bundle,org.eclipse.update.configurator,3.3.100.dist,"org.eclipse.update.configurator",1350711323474
started,bundle,org.eclipse.update.core,3.2.500.dist,"org.eclipse.update.core",1350711323475
started,bundle,org.eclipse.update.scheduler,3.2.300.dist,"org.eclipse.update.scheduler",1350711323476
started,bundle,org.eclipse.jdt.core,3.7.0.dist,"org.eclipse.jdt.core",1350711323546
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.dist,"org.eclipse.jdt.core.manipulation",1350711323546
