what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609524158
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350609542503
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350609543414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609567253
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609591945
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350609593615
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609595045
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350609606394
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609606482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609617699
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.project.cleanAction",1350609619942
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609619984
error,log,,,"Invalid ZIP archive: /home/mandeep/Downloads/andengine/andengine_stable/bin/andengine_stable.jar",1350609623358
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1350609628893
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350609639058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609646126
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609719060
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609727005
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609734423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609739996
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609742582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609743930
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609806601
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350609807740
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350609843838
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350609846558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609854115
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350609857017
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609857043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609860323
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.project.cleanAction",1350609861669
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609861703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609868063
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609916979
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350609916991
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350609918450
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609919655
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350609976173
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609976200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350609976204
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610056489
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350610056502
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350610058663
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1350610066738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610068384
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610074139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610078275
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1350610080051
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610080085
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350610081197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610089419
closed,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350610091204
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.dist,"org.eclipse.equinox.p2.ui.sdk",1350610092520
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.dist,"org.eclipse.pde.api.tools.ui",1350610092520
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.dist,"org.eclipse.pde.ds.ui",1350610092543
stopped,bundle,org.eclipse.pde.runtime,3.4.200.dist,"org.eclipse.pde.runtime",1350610092559
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.dist,"org.eclipse.pde.ua.ui",1350610092578
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.dist,"org.eclipse.pde.ui.templates",1350610092679
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.3.0.r37x201202021427,"org.eclipse.wb.rcp.SWT_AWT",1350610092710
