what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.photran.core.vpg,7.0.0.201202151942,"org.eclipse.photran.core.vpg",1350607285998
started,bundle,org.eclipse.rse.connectorservice.local,2.1.300.v201101042155,"org.eclipse.rse.connectorservice.local",1350607285999
started,bundle,org.eclipse.rse.core,3.2.2.R33x_v201110030150,"org.eclipse.rse.core",1350607286016
started,bundle,org.eclipse.rse.services,3.2.101.R33x_v201109141647,"org.eclipse.rse.services",1350607286028
started,bundle,org.eclipse.rse.services.local,2.1.300.v201105311250,"org.eclipse.rse.services.local",1350607286032
started,bundle,org.eclipse.rse.subsystems.files.core,3.2.101.R33x_v201107181530,"org.eclipse.rse.subsystems.files.core",1350607286041
started,bundle,org.eclipse.rse.subsystems.files.local,2.1.200.v201101042155,"org.eclipse.rse.subsystems.files.local",1350607286048
started,bundle,org.eclipse.rse.subsystems.shells.core,3.1.201.R33x_v201106281309,"org.eclipse.rse.subsystems.shells.core",1350607286049
started,bundle,org.eclipse.rse.subsystems.shells.local,2.1.300.v201101042155,"org.eclipse.rse.subsystems.shells.local",1350607286051
started,bundle,org.eclipse.rse.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.ui",1350607286065
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1350607286078
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1350607286118
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1350607286128
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1350607286129
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1350607286129
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1350607286130
os,sysinfo,,,"linux",1350607286141
arch,sysinfo,,,"x86_64",1350607286141
ws,sysinfo,,,"gtk",1350607286142
locale,sysinfo,,,"en_US",1350607286142
processors,sysinfo,,,"2",1350607286142
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1350607286142
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1350607286142
java.specification.name,sysinfo,,,"Java Platform API Specification",1350607286142
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350607286142
java.specification.version,sysinfo,,,"1.6",1350607286142
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1350607286142
java.version,sysinfo,,,"1.6.0_23",1350607286142
java.vm.info,sysinfo,,,"mixed mode",1350607286142
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1350607286142
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350607286142
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350607286142
java.vm.specification.version,sysinfo,,,"1.0",1350607286142
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350607286142
java.vm.version,sysinfo,,,"20.0-b11",1350607286142
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1350607286153
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350607296464
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350607300875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607301579
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.dist,"org.eclipse.equinox.p2.extensionlocation",1350607305755
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.100.dist,"org.eclipse.equinox.p2.artifact.repository",1350607305822
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.0.dist,"org.eclipse.equinox.p2.touchpoint.eclipse",1350607306789
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607308409
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350607309791
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1350607315558
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1350607316192
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1350607316926
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607320104
started,bundle,org.eclipse.equinox.p2.director,2.1.0.dist,"org.eclipse.equinox.p2.director",1350607327012
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.dist,"org.eclipse.equinox.p2.garbagecollector",1350607327059
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607335854
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350607338451
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350607341373
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350607345069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607354225
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607387127
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350607387191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607388247
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607394553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607396477
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607398804
opened,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350607399638
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350607399736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607401702
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607462594
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350607463768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607464757
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607469346
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607479273
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607482886
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1350607505671
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1350607551318
started,bundle,org.eclipse.pde.api.tools,1.0.300.dist,"org.eclipse.pde.api.tools",1350607672591
started,bundle,org.eclipse.pde.api.tools.ui,1.0.300.dist,"org.eclipse.pde.api.tools.ui",1350607672595
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350607694861
started,bundle,org.eclipse.compare,3.5.200.dist,"org.eclipse.compare",1350607701035
started,bundle,org.eclipse.php.core,3.0.1.v201201110400,"org.eclipse.php.core",1350607701459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607705688
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607762513
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607764458
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607782922
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350607798057
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350607801556
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350607821423
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607833916
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607834292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607845157
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607849547
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350607853550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607856946
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607859142
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350607863818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607870045
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350607870915
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350607899415
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1350607902983
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1350607903412
