what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350272959847
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350272961951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350272963698
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350272965420
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.select.lineStart",1350272972645
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350272975730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350272991544
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350272991883
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.select.lineStart",1350273041596
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273044099
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273047629
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273047999
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273057212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273063208
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273063540
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273067010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273070677
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273071018
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273077904
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350273081996
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273107195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273110420
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273155742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273184162
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273203985
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350273212284
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350273228287
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350273228357
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350273229797
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1350273232302
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1350273232513
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1350273234113
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273243719
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350273246247
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350273247580
closed,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350273247580
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350273250349
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineStart",1350273253842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273257280
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273262568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273266031
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273268412
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273271682
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273277582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273280259
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273287640
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1350273316439
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1350273316931
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1350273317181
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1350273317422
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273322221
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273326273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273331744
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273337567
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1350273340619
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273353778
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273373873
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273379097
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273386968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273388313
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273396284
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273507742
executed,command,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.edit.text.java.open.editor",1350273534711
executed,command,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.edit.text.java.open.editor",1350273543081
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273564198
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1350273567914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273576549
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273577039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273580757
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273583657
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273598410
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273600883
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273605615
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273615550
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273621083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273622461
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273626205
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1350273628733
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273641554
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273649584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273650527
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273671819
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350273671971
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273672552
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273703730
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273706246
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273711623
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350273725954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350273726525
