what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611704871
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611743572
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611745778
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611745893
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611747734
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1350611751675
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1350611752055
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1350611758163
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611759676
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611762579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611768567
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350611770814
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611770916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611775553
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.project.cleanAction",1350611776853
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611777060
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350611807701
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.refresh",1350611824322
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350611828007
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1350611830373
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350611863869
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350611880307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611883851
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1350611885242
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611885267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611887725
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1350611894318
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1350611894321
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1350611894336
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1350611894355
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350611912067
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611912088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611914883
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350611927911
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611927932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611931192
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350611935286
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611935323
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350611939697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611943675
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.project.cleanAction",1350611945152
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611945209
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350611954855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611960113
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350611962627
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611962651
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1350611967020
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350611972175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611972421
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611974079
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350611975039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611978865
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.properties",1350611981886
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611981913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611986836
executed,command,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.project.cleanAction",1350611988594
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350611988632
error,log,,,"Invalid ZIP archive: /home/mandeep/Downloads/andengine/andengine_stable/bin/andengine_stable.jar",1350611992046
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1350612048382
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1350612056879
opened,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350612066325
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350612066408
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350612074308
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1350612080382
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350612081073
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350612081309
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350612081429
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1350612083040
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350612091685
activated,editor,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1350612098106
activated,view,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.PackageExplorer",1350612098164
