what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197205495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197214167
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197215875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197532354
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197534314
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197543113
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197553347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197560704
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.dist,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1350197562621
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1350197562621
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197562667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197565569
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.import",1350197574863
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.import",1350197574863
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197574941
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1350197575852
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1350197578605
started,bundle,org.eclipse.cdt.core.lrparser,5.2.0.201202111925,"org.eclipse.cdt.core.lrparser",1350197586004
started,bundle,org.eclipse.cdt.core.lrparser.xlc,5.1.0.201202111925,"org.eclipse.cdt.core.lrparser.xlc",1350197586013
started,bundle,org.eclipse.photran.cdtinterface,7.0.0.201202151942,"org.eclipse.photran.cdtinterface",1350197586136
started,bundle,org.eclipse.pde.core,3.7.0.dist,"org.eclipse.pde.core",1350197586545
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350197590309
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1350197590527
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1350197590714
executed,command,org.eclipse.jdt.ui,3.7.0.dist,"org.eclipse.jdt.ui.edit.text.java.open.editor",1350197590720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197609355
activated,workbench,org.eclipse.ui.workbench,3.7.0.dist,"",1350197682797
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.save",1350197702254
